full_text,sentiment,sarcasm_detected,confidence
Love the equipment but customer service is bad Love their equipment but customer service is so ignorant you can't keep a relationship with the brand and this will be crucial to maintain sales.,Negative,False,low
Plebs Apple is a joke i recently updated my iphone and it’s saying i need to verify my age with my bank card which i’ve tried numerous times and it’s not worked now i can’t purchase things online!! I am furious and will be leaving more bad reviews in the future!  plebs ,Negative,True,high
"poor after service  when you want to buy a phone they see you immediately, when a new iphone is defective after 5 months they make you wait hours. and it’s still defective. staff are incompetent, by the time i was seen i knew more about iphones than the staff, also the hey are rude and disrespectful, i bought a new iphone phone for work because in the past they were effective, i’ll never buy an iphone again ",Negative,False,low
"Overcharged & no refund I’ve been subscribed to YouTube Premium through Apple for over 3 years, paying £16.99/month for a service that actually costs £12.99 when purchased directly online — something that was never clearly disclosed.

Over that time, I was overcharged by £146 for absolutely no difference in the service provided.
As soon as I realised, I cancelled and switched to paying the correct price. Apple refused to refund any of the difference, hiding behind policy rather than acknowledging the lack of pricing transparency.
It’s incredibly frustrating that loyal customers can be quietly overcharged through the App Store, with no accountability when it’s discovered.",Negative,False,low
"I purchased a IPad Pro I purchased a IPad Pro, but it cannot even move files from one disk to another, what kind of shitshow is this? 2000+€ for a useless piece of shit? My old (2018) Windows Laptop can handle it better than this stupid „high end“ device. Avoid Apple IPads if you actually want to do something productive",Negative,False,low
apple customer service do not listern… apple customer service do not listern to customers. They did not help me.,Negative,False,low
Aggressive harmful updates and forceful… Aggressive harmful updates and forceful update notifications.,Negative,False,low
"⭐ ZERO star ⭐ ZERO star — I'm writing this to stop all annoying ignorances of my complaints sins 2019- Apple Store Westfield White City — 14 March 2026

I attended this store on 14 March 2026 to exchange a MacBook Air I had purchased less than two weeks earlier. What followed is now the subject of formal complaints to Apple Head Office, the ICO, Trading Standards, and the Equality Advisory Support Service, as well as ongoing civil proceedings.

I am a registered disabled person. The store provided no seating for me or my elderly father, who has a serious cardiac condition. When I asked to exchange my device, I was told repeatedly to ""come back another time."" When I persisted, a manager publicly accused me of water damage — with no diagnostic test, no evidence, and without the technician properly examining my device. Apple's own technician, Greg, confirmed in writing on the same day (Case ID 102844707746) that the device was fully functional and there was no fault. An independent professional diagnostic from Newton's Apple Repair (Work ID 7078) confirmed no liquid damage, no residue, no corrosion, and that the device had never previously been opened. Currys resolved the so-called fault in under 30 seconds.

When I asked to see evidence for the accusation, I was refused. When I asked to speak with the technician, I was refused. When I asked for a head manager, I was refused. A colleague was brought over and the two of them continued the interaction while I was repeatedly cut off and not allowed to finish speaking. When I turned to the security guard for help, he was instructed to remove me instead. He then followed me outside the store into the public Westfield area and confronted me aggressively while I repeatedly said I did not feel safe. This is documented on video.

Two calls to the store on 16 March 2026 — both recorded — produced completely contradictory internal reports about my device within the same morning. A formal senior manager phone call on 16 March 2026 ended the moment I asked for a head manager and the manager realised I was recording. My formal written complaints to executive.relations , uk_legal , and privacy at apple.com have not been adequately addressed.

This is not my only experience at this store. I have attended Apple Stores over eight times for repairs on four iPhone 16 devices and four AirTags covered by Apple insurance. On every occasion I was sent away and told to come back. I have paid over £800 in insurance costs for products I have never been able to use.

All of the above is documented, evidenced, and currently before regulatory bodies and the court. I am sharing this factual account of my personal experience so that other customers — particularly disabled customers or those who are elderly — know what to expect and can make informed decisions.

Case IDs for reference: 102844505765 | 102844707746 | 18959098 | 102845788244
",Negative,False,low
"I bought a new pair of Apple AirPod… I bought a new pair of Apple AirPod Pros and tried to redeem 3 months of Apple Music.  I was denied because I claimed Apple Music trials from purchasing new devices too many times.  I can’t find a statement in Apple’s documentation that states there is a limit to trials. It is just another example of Apple greed and deception. They state trials are available to new and previous users of their services. You would think they would want people to continue to buy their products. 


",Negative,False,low
"Apple raided my bank account Just bought some Apple products totalling $1925 which has been deducted from my account.

Apple has then applied a further 5 (one failed because they cleaned my account out) charges to my account for $542, 317, 181 and 44 = $1084. None of these additional charges match the prices for the individual items. They are completely random amounts.

I have called Apple 3 times now to get this resolved and my money back. What a nightmare. 

They cannot 
(1) explain why the additional charges were applied. They have given me some completely non sensical answers like that's just what their system sometime does. Unbelievable when you think they are supposed to be the primary IT company in the world
(2) They are unable to explain where these completely random amounts have come but over the last three calls I have heard some great explanations which are truly totally nonsense 
(3) They cannot tell me when my money will be refunded. They cannot even confirm if they have cancelled the charges at their end. Instead they have asked me to go back to my bank and ask them to return my money. I know exactly what my bank will say, 'Go back to Apple and ask them to cancel / refund the charges'

Unbelievable experience with Apple. Completely clueless.

I am also unable to raise a complaint with the call handler (they inform me that don't have a system) or on the website because the webpage is undergoing upgrade or is it just because they are overwhelmed with complaints judging by the 1.8 rating.

Big tech companies happy to take your money but unhappy to refund or acknowledge there is an issue when things go wrong. 

Just to add to the issues above, Apple have taken a further $89 from my account so when I got to the supermarket to pay I didn't have enough money in my account.
",Negative,False,low
